Id,Name,Label,Description,LicenseId,IsCustom,IsOwnedByProfile,ProfileId,Profile.Name,NamespacePrefix,Type,HasActivationRequired,PermissionSetGroupId,CreatedDate,LastModifiedDate
0PSRo0000009hTxOAI,X00eRo00000JtbyTIAR,00eRo00000JtbyTIAR,,100U0000000Hb0mIAC,true,true,00eRo00000JtbyTIAR,Quality - UK,,Profile,false,,2025-10-16T13:48:02.000+0000,2026-08-12T10:06:52.000+0000
0PSRo000000Ckn3OAC,X00eRo00000Ob6tRIAR,00eRo00000Ob6tRIAR,,100U0000000Hb0mIAC,true,true,00eRo00000Ob6tRIAR,Mechanical Services,,Profile,false,,2026-03-26T11:52:20.000+0000,2026-08-12T10:06:52.000+0000
0PSU00000009Kj9OAE,X00eU0000000FNLbIAO,00eU0000000FNLbIAO,,100U0000000Hb0mIAC,true,true,00eU0000000FNLbIAO,System Administrator Custom 2,,Profile,false,,2016-07-23T07:18:19.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000OFj0OAG,X00eU0000000JBTdIAO,00eU0000000JBTdIAO,,100U00000000paUIAQ,true,true,00eU0000000JBTdIAO,Soapbox Mailer Email Tracking Profile,,Profile,false,,2014-08-24T17:20:37.000+0000,2026-06-30T03:31:13.000+0000
0PSU0000000OJT7OAO,X00eU0000000JGWPIA4,00eU0000000JGWPIA4,,100U0000000Q6PpIAK,false,true,00eU0000000JGWPIA4,Force.com - App Subscription User,,Profile,false,,2015-01-02T22:45:34.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000OKzxOAG,X00eU0000000JHJRIA4,00eU0000000JHJRIA4,,100U0000000Hb0mIAC,true,true,00eU0000000JHJRIA4,Purchasing,,Profile,false,,2015-02-05T05:58:35.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000OMREOA4,X00eU0000000JI8fIAG,00eU0000000JI8fIAG,,100U0000000Hb0mIAC,true,true,00eU0000000JI8fIAG,Sales User,,Profile,false,,2015-03-27T18:45:39.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000ORDhOAO,X00eU0000000JMG5IAO,00eU0000000JMG5IAO,,100U0000000Hb0mIAC,true,true,00eU0000000JMG5IAO,External User,,Profile,false,,2015-08-29T09:38:07.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000WbfYOAS,X00eU0000000NHNwIAO,00eU0000000NHNwIAO,,100U00000000nGcIAI,false,true,00eU0000000NHNwIAO,Chatter Moderator User,,Profile,false,,2014-05-16T18:55:49.000+0000,2026-06-30T03:31:13.000+0000
0PSU0000000WbfZOAS,X00eU0000000NHNxIAO,00eU0000000NHNxIAO,,100U00000000nGcIAI,false,true,00eU0000000NHNxIAO,Chatter Free User,,Profile,false,,2014-05-16T18:55:50.000+0000,2026-06-30T03:31:13.000+0000
0PSU0000000WbfaOAC,X00eU0000000NHNyIAO,00eU0000000NHNyIAO,,100U00000000nGdIAI,false,true,00eU0000000NHNyIAO,Chatter External User,,Profile,false,,2014-05-16T18:55:50.000+0000,2026-06-30T03:31:13.000+0000
0PSU0000000WcpEOAS,X00eU0000000NJTXIA4,00eU0000000NJTXIA4,,100U00000000paUIAQ,false,true,00eU0000000NJTXIA4,Guest License User,,Profile,false,,2014-06-30T20:31:32.000+0000,2026-06-30T03:31:13.000+0000
0PSU0000000SUKzOAO,X00ex0000001C77I_128_06_32_31_1,00ex0000001C77I_128_06_32_31_1,,100U0000000Hb0mIAC,false,true,00eU0000000iBdrIAE,System Administrator,,Profile,false,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000SUL2OAO,X00ex0000001C77L_128_06_32_31_4,00ex0000001C77L_128_06_32_31_4,,100U0000000Hb0mIAC,false,true,00eU0000000iBduIAE,Standard User,,Profile,false,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000SUL3OAO,X00ex0000001C77M_128_06_32_31_5,00ex0000001C77M_128_06_32_31_5,,100U0000000Hb0mIAC,true,true,00eU0000000iBdvIAE,Read Only,,Profile,false,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000SUL4OAO,X00ex0000001C77N_128_06_32_31_6,00ex0000001C77N_128_06_32_31_6,,100U0000000Hb0mIAC,false,true,00eU0000000iBdwIAE,Solution Manager,,Profile,false,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000SUL5OAO,X00ex0000001C77O_128_06_32_31_7,00ex0000001C77O_128_06_32_31_7,,100U0000000Hb0mIAC,false,true,00eU0000000iBdxIAE,Marketing User,,Profile,false,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
0PSU0000000SUL6OAO,X00ex0000001C77P_128_06_32_31_8,00ex0000001C77P_128_06_32_31_8,,100U0000000Hb0mIAC,false,true,00eU0000000iBdyIAE,Contract Manager,,Profile,false,,2014-05-16T18:55:04.000+0000,2026-08-12T10:06:52.000+0000
0PS5b000001V2acGAC,X1099_Rep_Permissions,1099 Rep Permissions,,100U0000000Hb0mIAC,true,false,,,,Regular,false,,2023-06-19T14:31:42.000+0000,2025-05-30T21:01:41.000+0000
0PS4O000000bAglWAE,AP_Page_Cost,AP Page - Cost,Used to specify who has access to view and edit the Cost field on the Add Product page.,,true,false,,,,Regular,false,,2020-04-28T13:12:24.000+0000,2025-05-30T21:01:41.000+0000
0PSRo0000008byTOAQ,API_Only,API Only,Used for integration accounts.  Blocks interactive login.,,true,false,,,,Regular,false,,2025-08-22T17:19:22.000+0000,2025-08-22T17:20:01.000+0000
0PSRo000000AEGDOA4,Ability_to_Edit_Enable_Manual_Cost_Assignment_on_Opportunity_Products,Ability to Edit Enable Manual Cost Assignment on Opportunity Products,,100U0000000Hb0mIAC,true,false,,,,Regular,false,,2025-11-25T16:47:50.000+0000,2025-11-25T16:48:49.000+0000
0PSRo000000AT2LOAW,Ability_to_Edit_Entity,Ability to Edit Entity,,,true,false,,,,Regular,false,,2025-12-19T01:50:18.000+0000,2025-12-19T01:50:18.000+0000
0PSRo000000APOXOA4,Ability_to_Edit_Service_Report_Fields,Ability to Edit Service Report Fields,,100U0000000Hb0mIAC,true,false,,,,Regular,false,,2025-12-15T14:16:39.000+0000,2025-12-16T13:55:20.000+0000
0PS0B000000b83lWAA,Ability_to_edit_Added_to_Work_Order_checkbox_on_Asset_Page,Ability to edit Added to Work Order checkbox on Asset Page,,,true,false,,,,Regular,false,,2018-12-20T21:11:15.000+0000,2025-05-30T21:01:41.000+0000
