"C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32"
"0PSRo0000008PHaOAM","SalesCloudEinsteinIncluded","Sales Cloud Einstein Included","Grants access to Einstein Opportunity score, Einstein Lead Score, Einstein Forecasting and Einstein Automated Contacts.","false","","","false","Standard","force","false","","","","","","5","","Can Run Analysis; Lead Score User; Opportunity Score User; View Forecasting Predictive; View Only Embedded App User","0","0","0","0","0","0","0","0","0","0","2025-08-01 04:08:22 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000008PHaOAM"
"0PSRo0000008PHcOAM","SalesCloudUnlimitedIncluded","Sales Cloud Included Bundle","Grants sales users access to Sales Cloud Included features.","false","","","false","Standard","force","false","","","","","","18","","AI View Insight Objects; Automatic Activity Capture; Call Coaching User; Create Ltng Temp In Pub; Edit Task; Email Single; Lead Score User; Opportunity Score User; Run Flow; SCE View All Data; Salesforce IQ Inbox; Salesforce Meetings User Perm; Video Conference Meet User; Video Conference Teams User; Video Conference Zoom User; View Forecasting Predictive; View Only Embedded App User; View Roles","5","5","3","3","3","0","0","0","0","0","2025-08-01 04:08:22 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000008PHcOAM"
"0PS0B000000b5wmWAA","SalesUserPsl","Sales Cloud User","Denotes that the user is a Sales Cloud user.","false","","","false","Standard","force","false","","","","","","2","","Campaign Influence2; Pardot User","2","2","2","2","2","1","1","0","0","0","2016-08-17 17:12:13 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PS0B000000b5wmWAA"
"0PS5b000000DoxgGAC","SalesEngagementBasicUser","Sales Engagement Basic User","Access basic sales automation and email productivity features, including Quick Cadences, automated email, email tracking, and insert availability..","false","","","false","Standard","force","false","","","","","","5","","Create Ltng Temp In Pub; Edit Task; Email Single; Run Flow; Salesforce IQ Inbox","3","3","2","2","2","0","0","0","0","0","2023-07-22 05:49:40 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PS5b000000DoxgGAC"
"0PSRo0000008PHUOA2","HighVelocitySalesCadenceCreatorIncluded","Sales Engagement Cadence Creator Included","Lets sales manager users access the Sales Engagement app, and create and edit Cadences.","false","","","false","Standard","force","false","","","","","","10","","Create Ltng Temp In Pub; Edit Task; Email Single; Lead Score User; Run Flow; Salesforce IQ Inbox; Video Conference Meet User; Video Conference Teams User; Video Conference Zoom User; View Only Embedded App User","3","3","2","2","2","0","0","0","0","0","2025-08-01 04:08:22 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000008PHUOA2"
"0PSRo0000008PHVOA2","HighVelocitySalesQuickCadenceCreatorIncluded","Sales Engagement Quick Cadence Creator Included","Lets reps access the Sales Engagement app, and create and edit Quick Cadences.","false","","","false","Standard","force","false","","","","","","10","","Create Ltng Temp In Pub; Edit Task; Email Single; Lead Score User; Run Flow; Salesforce IQ Inbox; Video Conference Meet User; Video Conference Teams User; Video Conference Zoom User; View Only Embedded App User","3","3","2","2","2","0","0","0","0","0","2025-08-01 04:08:22 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000008PHVOA2"
"0PSRo0000008PHWOA2","HighVelocitySalesUserIncluded","Sales Engagement User Included","Lets users access the Sales Engagement app, add buyers to Cadences, and contact them via Work Queue.","false","","","false","Standard","force","false","","","","","","9","","Edit Task; Email Single; Lead Score User; Run Flow; Salesforce IQ Inbox; Video Conference Meet User; Video Conference Teams User; Video Conference Zoom User; View Only Embedded App User","3","3","1","2","2","0","0","0","0","0","2025-08-01 04:08:22 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo0000008PHWOA2"
"0PS4O000000zpzBWAQ","Sales_Opp","Sales Opp","","false","","","true","Regular","","false","","","","","","0","","","0","0","0","0","0","0","0","4","0","1","2020-11-02 14:52:00 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000zpzBWAQ"
"0PS4O0000009WesWAE","Sales_Opportunity_Access","Sales Opportunity Access","","false","","","true","Regular","","false","","","","","","1","","Edit Opp Line Item Unit Price","0","0","0","0","0","0","0","0","0","0","2021-01-04 15:41:38 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O0000009WesWAE"
"0PSRo000000AqTaOAK","SalesWorkspace","Sales Workspace User","Access sales metrics, recommended actions, and agent activity in Sales Workspace","false","","","false","Standard","force","false","","","","","","0","","","0","0","0","0","0","0","0","0","0","0","2025-10-28 03:34:17 UTC","2026-08-15 06:02:59 UTC","https://probomedical.my.salesforce.com/0PSRo000000AqTaOAK"
"0PS4O000000WtbDWAS","Sales_and_Return_Opps","Sales and Return Opps","Added for Joanna in Harrisburg to improve Vendor Return process","false","","","true","Regular","","false","","","","","","0","","","1","1","1","1","0","0","0","138","0","0","2019-10-09 20:12:51 UTC","2025-05-30 21:01:41 UTC","https://probomedical.my.salesforce.com/0PS4O000000WtbDWAS"
"0PSRo000000FlZiOAK","SalesCloudCallCoachingSeller","SalesCloudCallCoachingSeller","","false","","","true","Group","force","false","","","","","","3","","Std Automatic Activity Capture; View Only Embedded App User; View Roles","1","1","0","0","0","0","0","0","0","0","2026-07-07 22:36:48 UTC","2026-07-07 22:39:06 UTC","https://probomedical.my.salesforce.com/0PSRo000000FlZiOAK"
"0PSRo000000EsBrOAK","SalesCloudSeller","SalesCloudSeller","","false","","","true","Group","force","false","","","","","","7","","Call Coaching User; Std Automatic Activity Capture; Video Conference Meet User; Video Conference Teams User; Video Conference Zoom User; View Only Embedded App User; View Roles","1","1","0","0","0","0","0","0","0","0","2026-06-13 04:27:41 UTC","2026-06-13 04:30:12 UTC","https://probomedical.my.salesforce.com/0PSRo000000EsBrOAK"
"0PSRo000000EsBqOAK","SalesCloudSellerUnlimited","SalesCloudSellerUnlimited","","false","","","true","Group","force","false","","","","","","18","","AI View Insight Objects; Automatic Activity Capture; Call Coaching User; Create Ltng Temp In Pub; Edit Task; Email Single; Lead Score User; Opportunity Score User; Run Flow; SCE View All Data; Salesforce IQ Inbox; Salesforce Meetings User Perm; Video Conference Meet User; Video Conference Teams User; Video Conference Zoom User; View Forecasting Predictive; View Only Embedded App User; View Roles","5","5","3","3","3","0","0","0","0","0","2026-06-13 04:27:41 UTC","2026-06-13 04:30:19 UTC","https://probomedical.my.salesforce.com/0PSRo000000EsBqOAK"
"0PSRo000000AadJOAS","SalesWorkspacePSG","SalesWorkspacePSG","","false","","","true","Group","force","false","","","","","","1","","View Roles","1","1","0","0","0","0","0","0","0","0","2025-12-20 06:34:43 UTC","2026-01-09 08:07:13 UTC","https://probomedical.my.salesforce.com/0PSRo000000AadJOAS"
"0PS5b000001V2HuGAK","ApexGuruStandardPermSet","Salesforce Apex Guru","Gives Apex Guru access to analyze code for anti patterns.","false","","","false","Session","force","true","","","","","","9","Author Apex; Modify Metadata","Apex Rest Services; Api Enabled; Api User Only; Author Apex; Chatter Internal User; Modify Metadata; Password Never Expires; View Roles; View Setup","0","0","0","0","0","0","0","0","0","0","2018-06-18 05:10:21 UTC","2026-08-15 06:02:55 UTC","https://probomedical.my.salesforce.com/0PS5b000001V2HuGAK"
"0PS4O000000WuGkWAK","C2CHeadlessCMSAccessPermSet","Salesforce CMS Integration Admin","Gives the admin data access and the permissions to integrate Salesforce CMS with any endpoint.","false","","","false","Session","force","true","","","","","","7","","Apex Rest Services; Api Enabled; Api User Only; Can Access CE; Chatter Internal User; Headless CMS Access; Password Never Expires","115","115","86","91","90","105","89","0","0","0","2018-06-18 05:10:21 UTC","2026-08-15 06:02:55 UTC","https://probomedical.my.salesforce.com/0PS4O000000WuGkWAK"
