"Id","ParentId","SobjectType","PermissionsRead","PermissionsCreate","PermissionsEdit","PermissionsDelete","PermissionsViewAllRecords","PermissionsModifyAllRecords"
"1104O000009dR4RQAU","0PS0B000000b6FJWAY","CommSubscriptionChannelType","true","true","true","true","true","true"
"1104O000009dR4UQAU","0PS0B000000b6FJWAY","CommSubscriptionConsent","true","false","false","false","true","false"
"1104O000009dR4fQAE","0PL4O00000003NBWAY","AIRecordInsight","true","false","true","false","false","false"
"1104O000009dR4gQAE","100U0000000Hb0oIAC","ContactPointPhone","true","true","true","true","true","true"
"1104O000009dR4hQAE","100U0000000Hb0nIAC","ContactPointPhone","false","false","false","false","false","false"
"1104O000009dR4iQAE","100U0000000Hb0pIAC","ContactPointPhone","false","false","false","false","false","false"
"1104O000009dR4jQAE","100U0000000Q6PpIAK","ContactPointPhone","false","false","false","false","false","false"
"1104O000009dR4kQAE","100U0000000Hb0oIAC","ContactPointEmail","true","true","true","true","true","true"
"1104O000009dR4lQAE","100U0000000Hb0nIAC","ContactPointEmail","false","false","false","false","false","false"
"1104O000009dR4mQAE","100U0000000Hb0pIAC","ContactPointEmail","false","false","false","false","false","false"
"1104O000009dR4nQAE","100U0000000Q6PpIAK","ContactPointEmail","false","false","false","false","false","false"
"1104O000009dVHNQA2","0PS4O000000WuOFWA0","Opportunity","true","true","true","true","true","true"
"1104O000009dXIaQAM","100U0000000Hb0oIAC","AIInsightReason","true","true","true","true","true","true"
"1104O000009dXIbQAM","100U0000000Hb0oIAC","CommSubscription","true","true","true","true","true","true"
"1104O000009dXIcQAM","100U0000000Hb0oIAC","CommSubscriptionChannelType","true","true","true","true","true","true"
"1104O000009dXIdQAM","100U0000000Hb0oIAC","CommSubscriptionConsent","true","true","true","true","true","true"
"1104O000009dXIjQAM","100U0000000Hb0oIAC","AIRecordInsight","true","true","true","true","true","true"
"1104O000009dXIkQAM","100U0000000Hb0oIAC","EngagementChannelType","true","true","true","true","true","true"
"1104O000009dXIlQAM","100U0000000Hb0oIAC","CommSubscriptionTiming","true","true","true","true","true","true"
"1104O000009dXImQAM","100U0000000Hb0oIAC","PartyConsent","true","true","true","true","true","true"
